"","ctrl_g1","taz_g1","ctrl_g2","taz_g2","ctrl_g3","taz_g3","ctrl_g4","taz_g4","ctrl_g5","taz_g5","ctrl_g6","taz_g6","ctrl_g7","taz_g7","ctrl_g8","taz_g8"
"PPARA",5.92832713428605,27.6837933778765,3.93783619714264,17.630698368395,11.7282292002593,27.5723076880528,8.80438385020244,24.16150399149,4.67787519470682,27.5324684410487,13.8935893131385,15.1273285028003,9.55204543000347,13.7895532078,21.6505945408735,22.6633181129051
"PPARD",89.9129615366717,69.6867902270683,81.7101010907099,60.3155470497722,94.8031860354296,54.1598901015322,64.5654815681513,49.2894681426396,87.9440536604882,60.5714305703071,73.4375435123037,63.5347797117612,68.9869947722473,54.0974779690615,84.540416778649,77.2613117485403
"PPARG",14.8208178357151,8.59152208278925,19.6891809857132,10.2072464238076,7.81881946683956,15.755604393173,7.82611897795773,12.5639820755748,13.0980505451791,14.6839831685593,11.908790839833,11.0933742353869,12.736060573338,10.6073486213846,9.27882623180294,11.3316590564526
"PPARGC1A",2.96416356714302,0,6.89121334499963,1.85586298614684,4.88676216677472,3.93890109829325,5.8695892334683,0.9664601596596,2.80672511682409,0,3.96959694661101,2.01697713370671,4.24535352444599,5.30367431069231,6.18588415453529,1.03015082331387
"PPARGC1B",2.96416356714302,8.59152208278925,1.96891809857132,3.71172597229367,3.90940973341978,3.93890109829325,5.8695892334683,5.7987609579576,7.48460031153091,4.58874474017478,5.95439541991652,1.00848856685335,7.42936866778048,13.7895532078,12.3717683090706,3.09045246994161
"PPAT",64.2235439547655,69.6867902270683,48.2384934149974,61.2434785428456,56.6864411345868,61.0529670235454,59.6741572069277,52.1888486216184,54.2633522585991,55.0649368820974,56.5667564892069,53.4498940432277,62.6189644855783,48.7938036583692,46.3941311590147,64.8995018687738
"PPATP1",0.988054522381008,0,0,0,0,0,0,0,0,0.917748948034956,0,0,0,0,0,0
"PPCDC",7.90443617904806,4.7730678237718,10.8290495421423,4.63965746536709,7.81881946683956,7.87780219658651,4.89132436122358,4.832300798298,8.42017535047227,7.34199158427965,10.9163916031803,7.05941996797347,8.49070704889198,4.24293944855384,11.340787616648,9.27135740982483
"PPCS",17.7849814028581,24.8199526836134,21.6580990842845,11.135177916881,15.6376389336791,12.8014285694531,24.4566218061179,23.1950438318304,16.8403507009445,11.9307363244544,19.8479847330551,16.1358170696536,9.55204543000347,18.0324926563538,18.5576524636059,7.21105576319709
"PPDPF",31.6177447161922,29.5930205073852,37.4094438728551,38.0451912160102,33.2299827340681,48.2515384540924,32.2827407840756,36.7254860670648,26.1961010903582,38.5454558174682,31.7567755728881,52.4414054763743,29.7174746711219,29.7005761398769,36.0843242347892,37.0854296392993
