"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GATA2",9.24999403847087,0.0136991211968673,0.292704787707182,0.0468018350645214,0.962671166468017,0.987285726296419
"GATA2-AS1",3.05939327800162,1.34597137220211,0.60037371200588,2.24188925212123,0.0249685308529014,0.0913606932509259
"GATA3",13.9248826450263,0.529257115906481,0.283260717070018,1.86844516027846,0.0617000473101138,0.178130488156805
"GATA6",37.7464320457382,-0.353908964481918,0.206677999772536,-1.71236882915173,0.086828719662128,0.228134981346273
"GATA6-AS1",1.77507305005187,0.679395695725914,0.691099889981837,0.983064395718207,0.325575746169637,0.544706474423414
"GATAD1",25.4062793884094,-0.0106265781617472,0.189760349459329,-0.0559999925802452,0.955341813073634,0.98331837790505
"GATAD2A",159.759741439985,-0.111457259541295,0.0855086350053818,-1.30346203672039,0.192417068979342,0.392469735934056
"GATAD2B",67.9574705295057,-0.568882412442378,0.125913940014065,-4.5180256640276,6.24189201477301e-06,8.45121730546534e-05
"GATB",13.534338680957,0.136585460902092,0.25532360403874,0.534950387436048,0.592684164425707,0.771818601285537
"GATC",58.3266763383161,-0.319502489276077,0.125249543742528,-2.55092737050499,0.010743671228885,0.0468722632236613
"GATD1",47.6219549495991,0.226381866617619,0.131899616444798,1.71631937013527,0.0861036049480734,0.226563171233293
"GATD3A",27.0676465675427,0.140045680492493,0.185980449746677,0.753012914439388,0.451442153531835,0.661061652279976
"GATM",0.297976001515352,0.342146298126169,1.65718002348837,0.206462963152278,0.836429292586689,NA
"GAU1",0.061753407648813,-0.37920415148019,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"GBA",63.9470683650198,-0.179654647717993,0.120448222958186,-1.49155083658113,0.135816934762306,0.311909220690267
"GBA2",37.8954485014034,-0.0900696701675759,0.170415676702575,-0.528529252181262,0.597132049549786,0.774775484634624
"GBAP1",12.3522818029821,-0.66509534171353,0.291075290232886,-2.28495981634647,0.0223151840831094,0.083654814885303
"GBE1",90.2975526425759,0.223991892758839,0.113997367607627,1.96488653606291,0.0494273713925152,0.151290926375237
"GBF1",96.5307544663998,0.146781827391087,0.113492638920606,1.29331583781189,0.195901845152664,0.396720532179873
"GBGT1",0.497701232406274,1.88868475421601,1.50831934831873,1.25217829786594,0.210504902086468,0.415737445731608
"GBP1",35.1782632587579,-0.0422167335160116,0.180866867024822,-0.233413306762359,0.815440481217135,0.907921784162865
"GBP1P1",0.060403759978725,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"GBP2",21.3259182996462,0.424063749693188,0.224132044896097,1.89202641634655,0.0584874612497783,0.171242402368022
"GBP3",74.6056429896158,-0.0715463206979831,0.123867046249217,-0.577605770577866,0.563530310096552,0.750760645437261
"GBP4",19.312022535579,-0.911755924946291,0.239492266332727,-3.80703702423353,0.000140641696559461,0.00129686684219996
"GBP5",4.89808513537697,-0.855244536463115,0.489069117139988,-1.74871916154607,0.0803395761661014,0.215825849469139
"GBP6",0.182325085453646,0.342142048257948,2.33468163588374,0.146547624737896,0.883489096598967,NA
"GCA",8.55161500481749,-0.288083583466653,0.309722743465591,-0.930133771395636,0.352301827174794,0.572578142350602
"GCAT",5.1125854600961,-0.196957557716673,0.418476048150764,-0.470654314833606,0.637887613813543,0.800683923020519
"GCATP1",0.12120867745798,0.702810078465683,2.62530559071838,0.267706007616953,0.788925625145596,NA
"GCC1",22.5776077427144,-0.418201904437543,0.201845688092223,-2.0718892159166,0.038275773904744,0.12566623852615
"GCC2",33.3900699088516,0.496160913377988,0.173709085326346,2.85627497517389,0.00428643726986177,0.0224141584141453
"GCC2-AS1",0.480629034125283,1.84941969829265,1.39643301118306,1.32438841210565,0.185374081085862,0.382118528320545
"GCDH",15.0181333346732,-0.515225014268544,0.266633361058324,-1.9323351444977,0.0533181533041304,0.159885335253829
"GCFC2",25.6049120999342,-0.185977341256722,0.212395290507782,-0.875618949987536,0.381237220030362,0.601160111303416
"GCH1",10.4019973247502,0.704097639301556,0.295255675667028,2.38470484169658,0.0170928290841405,0.067989189461078
"GCHFR",1.30828579345918,0.374438315088359,0.856199064484891,0.437326237110093,0.661874770196367,0.817870008083446
"GCKR",10.6095112942968,-2.57007594094099,0.380955814985653,-6.74638853074804,1.5157041144812e-11,6.72042865839301e-10
"GCLC",27.6642356202233,-0.463492719133813,0.19445017632908,-2.38360657667606,0.0171439194844907,0.0681322815500886
"GCLM",87.8389074359324,0.0547324152001116,0.0969507253481518,0.564538480795956,0.572387719335564,0.757326415191053
