"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GACAT2",0.73859095806983,0.0404352334522575,0.299901590152216,0.645022991524383,0.805799017483259
"GAD1",8.08614307264804,-0.23359990552533,0.277060996862725,0.184214142322604,0.380435099278734
"GADD45A",91.0148829160711,-2.21008032365865,0.350772828862888,1.57184480475147e-11,6.94390249144098e-10
"GADD45B",30.9609104523267,-0.969391265132441,0.250179543337032,9.58448652579416e-06,0.000122706184506431
"GADD45G",0.060403759978725,0.0158586307688294,0.310016016796695,0.910986091726001,NA
"GADD45GIP1",37.3040033023969,-0.320530183032194,0.176767343493284,0.0315025211183066,0.108889660791995
"GADL1",0.061084527084684,-0.0168229451230737,0.310107765253434,0.901388564855365,NA
"GAGE10",0.0630305354283345,0.0160256033542229,0.31002886752266,0.910986091726001,NA
"GAK",36.1610993679087,0.0506069176561741,0.151201200909079,0.70216539809921,0.843490155449056
"GAL",1.34556639054463,0.157720415067477,0.33889731927622,0.183241613981434,0.379103625347995
"GAL3ST4",0.559036713497216,-0.0179156436267819,0.302554699447003,0.789348238579436,0.897989577424822
"GALC",31.6250685985623,0.103936785632439,0.150636321375446,0.430292635731088,0.644394215892526
"GALE",37.6877617161586,0.0412551892349196,0.133455607632268,0.732622028098878,0.862954380067581
"GALK1",10.1651418341401,0.337744392905305,0.275370001651987,0.0733955095302877,0.202501566851159
"GALK2",7.57164838141229,-0.105846287777815,0.239625072851827,0.505683392583136,0.703757934443317
"GALM",13.3452588801831,-0.30409489332538,0.242528096207481,0.0857350338640044,0.226031686923376
"GALNS",10.6316326176009,0.193754782978353,0.226688474693089,0.242071871597537,0.45373763290527
"GALNT1",101.374080691755,0.018258419393224,0.104719163805632,0.853682278431646,0.925074947247794
"GALNT10",138.769230648691,0.0136204048021865,0.0885615520170606,0.872909661384222,0.935591057997614
"GALNT11",32.7637795907546,0.650405217703473,0.165417590098801,1.46085284873118e-05,0.000177528159673304
"GALNT12",6.94014170942196,-0.310275304862232,0.304541600306074,0.101712642892326,0.254933729105961
